,time_step,shannon_entropy
1,1,3.4605749832827124
2,2,3.202735459412777
3,3,3.253864050577366
4,4,4.783777237063801
5,5,4.280477922508985
6,6,4.356440768871856
7,7,3.716347305391936
8,8,3.3562492887331543
9,9,4.653341803386243
10,10,3.708634649733676
11,11,4.786353766667622
12,12,4.896949709830857
13,13,4.012836529867164
14,14,5.456507645398352
15,15,5.077995204291745
16,16,4.843136113221839
17,17,5.236274202026226
18,18,5.020716437100999
19,19,3.82201147056937
20,20,5.120538009133093
21,21,3.827026594807428
22,22,3.730242600410789
23,23,4.432242987604967
24,24,3.7914259390390432
25,25,3.9248471391549713
26,26,4.161546164936161
27,27,4.348186554930802
28,28,3.7620535710035687
29,29,3.971006746032919
30,30,3.853218471519225
31,31,3.7035123199487474
32,32,5.296352434880724
33,33,5.30522519178094
34,34,5.397729166376472
35,35,5.450812867974318
36,36,5.430623956649581
37,37,5.345915088154239
38,38,5.120075719221633
39,39,4.803952105666855
40,40,4.465667389493584
41,41,4.294445078556319
42,42,4.244887896680222
43,43,4.109271617597877
44,44,5.456763148827799
45,45,4.143112220990168
46,46,4.252673542866171
47,47,4.135801850371112
48,48,3.960735956153268
49,49,4.040135935005663
50,50,5.713367750387199
51,51,4.997503241841181
52,52,3.9528008003184936
53,53,5.924995517481547
54,54,5.834344501067784
55,55,5.13333078468126
56,56,4.260583740055062
57,57,3.358602463453788
58,58,3.691050120208676
59,59,3.7779110106346567
60,60,4.039741425575272
61,61,3.903166452754679
62,62,3.904754041352257
63,63,3.986097115768045
64,64,4.074412230705274
65,65,4.321860289598112
66,66,4.410973227762289
67,67,4.63869444043547
68,68,4.506372962425058
69,69,4.523884633810113
70,70,4.305815795958532
71,71,4.425430805538715
72,72,5.835187128166766
73,73,4.294531825156362
74,74,4.1750757249012
75,75,4.085970371156981
76,76,3.975395875068803
77,77,3.871156202954848
78,78,3.760958641411135
79,79,3.714684031419405
80,80,4.885615424348371
81,81,3.972543150699875
82,82,3.957165096491491
83,83,3.80858561926946
84,84,4.772280836693465
85,85,4.818705335124756
86,86,4.22035364500666
87,87,3.751865642073533
88,88,3.9731508984897
89,89,4.008553499283992
90,90,4.101727538167948
91,91,4.165433871684775
92,92,3.974535515950581
93,93,3.9398141264285154
94,94,4.865816721749624
95,95,5.499635591893798
96,96,4.532245918505119
97,97,5.386154851018375
98,98,4.41194675969551
99,99,4.091714495847459
100,100,2.700777281885709
101,101,4.2056859981865
102,102,4.198524774946757
103,103,4.21427038892604
104,104,4.269473079974068
105,105,5.913011866909391
106,106,5.867786014094482
107,107,5.832641557777628
108,108,5.716740284277424
109,109,5.434674717605801
110,110,5.070959416646756
111,111,4.618058515092616
112,112,4.444455750626488
113,113,4.658571541785936
114,114,4.635679293591335
115,115,4.577854922531448
116,116,4.657925340777444
117,117,4.628353646759116
118,118,4.019714100977891
119,119,4.081693784907846
120,120,4.084879435707808
121,121,4.22377722653612
122,122,4.491594705722561
123,123,4.506113281964059
124,124,4.63013659480435
125,125,4.400842991006198
126,126,4.594933997650296
127,127,4.203853925987508
128,128,5.660892132991798
129,129,4.307115389459907
130,130,5.694833605208737
131,131,4.309313013496692
132,132,4.146454744451041
133,133,4.189022405211697
