,time_step,shannon_entropy
1,1,3.0290569055597265
2,2,3.2443062941291947
3,3,3.3066919603886022
4,4,3.298309101151172
5,5,3.1666228163344434
6,6,3.004084199934556
7,7,3.0837188523858376
8,8,3.0082453807846887
9,9,3.0329356536955294
10,10,3.1272361956426904
11,11,2.994272830727696
12,12,2.8069016479889903
13,13,2.8564415082041967
14,14,3.2149233449959858
15,15,3.2627494802803354
16,16,3.2266117057839567
17,17,3.1113202441020227
18,18,3.2836632509508283
19,19,2.850039856091412
20,20,3.2100842018109126
21,21,3.8929702956821375
22,22,3.0332007699710597
23,23,2.970192978262065
24,24,3.2554424136491704
25,25,3.347884242819667
26,26,3.180169772091104
27,27,3.051368714181772
28,28,3.1144306488422897
29,29,2.920263732388654
30,30,3.138288664474028
31,31,3.1652615594041777
32,32,3.193152541694666
33,33,3.221755334364286
34,34,3.221455831890607
35,35,3.231113219435052
36,36,3.215000345965752
37,37,3.205568160583684
38,38,3.1810810105002605
39,39,3.1695963636448665
40,40,3.1604336033468754
41,41,3.1744326209331546
42,42,3.8401241356656888
43,43,3.990381637960629
44,44,3.3047087413312344
45,45,3.912384519235869
46,46,3.8740848415469897
47,47,3.6445600980030943
48,48,3.312954293152752
49,49,3.6939122297645337
50,50,3.7431578673539407
51,51,3.9152068422136006
52,52,3.831980749180609
53,53,3.49776533393418
54,54,4.037718581339743
55,55,4.394151266692406
56,56,4.118330924657726
57,57,4.315534281600375
58,58,4.226882707208341
59,59,4.114449485313658
60,60,3.8702466875356345
61,61,3.655632748078752
62,62,3.695075180650021
63,63,3.757154015886355
64,64,3.82965129149004
65,65,3.886116885070376
66,66,3.883708411680728
67,67,3.881733538267425
68,68,3.88376741755198
69,69,3.854354076546051
70,70,3.867031662091316
71,71,3.4550008390064724
72,72,3.4437497773543986
73,73,3.4801188653841453
74,74,3.5438059683969567
75,75,3.599668221142813
76,76,3.678973490057575
77,77,3.722770179232168
78,78,3.775205494541637
79,79,3.800087181254815
80,80,3.8478079421846103
81,81,3.64101569843049
82,82,3.127521256685513
83,83,3.450730342426583
84,84,3.720001758435719
85,85,3.652768374321947
86,86,3.5039241727411
87,87,3.2770929221097376
88,88,3.0507599195066817
89,89,2.941087326543606
90,90,3.878717668328812
91,91,3.887204196844543
92,92,3.8015909747416567
93,93,3.872025556230602
94,94,4.024950191350043
95,95,4.301740242437846
96,96,3.5500603397737343
97,97,3.4029292541463723
98,98,3.3269334230009378
99,99,3.313998231963849
100,100,3.727195947155425
101,101,3.290264668553645
102,102,3.342279027337208
103,103,3.6055949742962063
104,104,3.5863072763092267
105,105,3.5604445155403472
106,106,3.5460819310071074
107,107,3.495212961189027
108,108,3.424091762470572
109,109,3.3329547835661324
110,110,3.2268051801248747
111,111,3.187724996433642
112,112,2.6353092287750424
113,113,3.2945375071470213
114,114,3.522457012314779
115,115,3.103382919282339
116,116,3.083896449569901
117,117,3.735145909824519
118,118,3.388119100818253
119,119,3.0520241747854344
120,120,3.0347693511072267
121,121,3.8449929490940353
122,122,3.4982954386814087
123,123,3.391790897949877
124,124,3.958285253989439
125,125,3.6190386356563016
126,126,3.7329589777714234
127,127,3.5137962832111485
128,128,3.102736315793406
129,129,3.355942626042468
130,130,3.1068147391215577
131,131,3.5149099856584725
132,132,4.143579478209124
133,133,3.305079323399043
134,134,3.829934144324588
135,135,3.411897482729118
136,136,3.678871120804443
137,137,3.277326739512956
138,138,3.6204823473331937
139,139,3.495244215022417
140,140,3.495088818427821
141,141,3.2040218578784088
142,142,3.778063674920941
143,143,4.245505105776339
144,144,3.9213172372194585
145,145,3.750160818001724
146,146,3.6884950947270463
147,147,3.4202166203685453
148,148,3.702411506854712
149,149,3.692085736996332
150,150,3.3116621954988497
151,151,4.369240371169481
152,152,3.434940013562478
153,153,3.3051385510299007
154,154,3.262664045920515
155,155,4.046708885344843
156,156,3.634736605878815
157,157,3.666639258875952
158,158,3.895471264632616
159,159,3.8332374359577033
160,160,3.722566005182017
161,161,3.715223464737135
162,162,3.757289779461576
163,163,3.7496405977184577
164,164,3.710153822893892
165,165,3.633719549336071
166,166,3.289964202094951
167,167,3.272486225292812
168,168,3.3111124781758536
169,169,3.3425283790366813
170,170,3.394156157057636
171,171,3.506474222429032
172,172,3.621119690261197
173,173,3.7849440216957553
174,174,3.845797601780234
175,175,3.9419201602101057
176,176,4.0141941556035405
177,177,3.98214931432397
178,178,3.480321942915181
179,179,3.5320211817993945
180,180,4.011820682949575
181,181,3.335495030628852
182,182,3.1238109312303277
183,183,3.3702240885745964
184,184,3.590017496974912
