,time_step,shannon_entropy
1,1,4.304973608085583
2,2,3.771126812576471
3,3,3.970863455677557
4,4,3.4822066792951167
5,5,4.337886640411691
6,6,3.5567715363319365
7,7,3.685128171060637
8,8,3.9922201620072655
9,9,3.796393438182116
10,10,4.3290248195913845
11,11,4.018001909809364
12,12,3.9899253014009193
13,13,4.042466992482814
14,14,3.559441900169991
15,15,4.174132819804738
16,16,3.953558658423622
17,17,4.485793241584881
18,18,3.901750238927277
19,19,4.220788582649695
20,20,4.3794889277323
21,21,3.657245100998605
22,22,4.159537587458881
23,23,4.857204893550852
24,24,4.149784629859047
25,25,4.284614028749761
26,26,4.093693332747903
27,27,3.635503809613041
28,28,3.722676273437251
29,29,3.624311475497788
30,30,3.699363573319017
31,31,4.1341942709411725
32,32,4.8523864751324055
33,33,4.318090182278984
34,34,3.829978241773403
35,35,3.757009590647346
36,36,4.333286335580337
37,37,3.819614801488055
38,38,3.71357530838696
39,39,3.7451146459850393
40,40,3.728924309074247
41,41,4.208522946719893
42,42,4.821434663627431
43,43,4.865759937981216
44,44,4.410181545653622
45,45,4.1680376902825405
46,46,4.599512276652052
47,47,3.903136742499101
48,48,4.381772742813006
49,49,3.9380127086375554
50,50,4.136663395988121
51,51,4.430879514222131
52,52,4.71463157575499
53,53,3.705360793318544
54,54,4.234856044672488
55,55,4.161966587146789
56,56,3.783670811454517
57,57,3.307591008294911
58,58,3.5114820950132133
59,59,4.300050846074161
60,60,3.716214620785348
61,61,4.182628104720512
62,62,4.482102051005715
63,63,4.217910354580779
64,64,4.029666296352088
65,65,4.15283008220238
66,66,4.245788865691284
67,67,4.256072392692265
68,68,4.3910008370111
69,69,4.476551961679477
70,70,3.909206647363055
71,71,3.8546875122451807
72,72,4.042043483592408
73,73,3.863429814528515
74,74,3.709207659555485
75,75,3.559523233165659
76,76,3.851384280690748
77,77,3.3839361578246447
78,78,3.1879532542508064
79,79,3.2240811101742453
80,80,3.309788403632871
81,81,3.479007017588557
82,82,3.623355293899805
83,83,3.7679141342174978
84,84,3.9478058836344263
85,85,4.043192103395991
86,86,4.160363295794923
87,87,4.238881548265221
88,88,4.281868056281794
89,89,4.324834175743504
90,90,4.241559307341106
91,91,4.033018679949706
92,92,3.944267196336142
93,93,4.259024421434551
94,94,4.421895105191731
95,95,3.935781050732203
96,96,4.26705872989277
97,97,4.891012129469905
98,98,3.5210411753598856
99,99,4.08064997873279
100,100,3.6286312019566944
101,101,3.005327603677261
102,102,3.2617107332294237
103,103,3.4005375842420884
104,104,4.023346065529552
105,105,2.617356276427884
106,106,2.9752710254271952
107,107,3.0940598568894173
108,108,3.1571604003856817
109,109,4.179135930044932
110,110,4.326051213622838
111,111,4.102492305427142
112,112,3.718658173845962
113,113,3.240837706899484
114,114,2.8040886647692798
115,115,2.599259972760503
116,116,3.5930354938567306
117,117,3.223195468877807
118,118,2.9072507650719444
119,119,2.90097750394475
120,120,2.898566637134415
121,121,3.66656124510445
122,122,4.583560785908901
123,123,4.5107811164060765
124,124,4.601483127126082
125,125,4.644130960290203
126,126,4.434530709475115
127,127,3.997833004832829
128,128,3.9629144781392704
129,129,4.293455125597607
130,130,4.486623956996049
131,131,4.421479758943695
132,132,4.417181889841942
